Wall time,Step,Value
1492940306.785139,0,4.992851734161377
1492940383.994768,1,3.5443637371063232
1492940460.089631,2,2.9220130443573
1492940536.738165,3,2.5464272499084473
1492940613.122544,4,2.3454577922821045
1492940689.320858,5,2.1351754665374756
1492940766.242093,6,1.9950404167175293
1492940841.965524,7,1.8593504428863525
1492940918.008654,8,1.759166955947876
1492940993.763157,9,1.701764464378357
1492941077.757891,0,1.6259090900421143
1492941156.167511,1,1.496760606765747
1492941234.358286,2,1.4954171180725098
1492941312.919662,3,1.5520744323730469
1492941391.027069,4,1.5187323093414307
1492941469.42207,5,1.543484091758728
1492941547.696823,6,1.5274909734725952
1492941625.54648,7,1.5541965961456299
1492941703.797965,8,1.53475821018219
1492941781.780518,9,1.5188854932785034
