Wall time,Step,Value
1493120177.590932,0,4.721224308013916
1493120255.169962,1,3.087533712387085
1493120332.595225,2,2.3768880367279053
1493120410.43584,3,2.073061227798462
1493120488.288462,4,1.8492965698242188
1493120566.184206,5,1.6923205852508545
1493120644.305694,6,1.5386730432510376
1493120721.911036,7,1.4314026832580566
1493120799.847243,8,1.3313039541244507
1493120877.498522,9,1.3023680448532104
1493120955.432136,10,1.2310283184051514
1493121033.409376,11,1.2012064456939697
1493121111.21718,12,1.146260380744934
1493121189.13155,13,1.0785778760910034
1493121266.743235,14,1.0707850456237793
1493121352.925109,0,0.9858911037445068
1493121434.288343,1,0.9315515160560608
1493121515.382039,2,0.9169788360595703
1493121596.820903,3,0.918807864189148
1493121678.131645,4,0.9112967848777771
1493121759.621797,5,0.9013960361480713
1493121841.092089,6,0.8932808041572571
1493121922.215208,7,0.9110801219940186
1493122003.611744,8,0.9176075458526611
