Wall time,Step,Value
1492940306.785081,0,0.043435536324977875
1492940383.994715,1,0.180813267827034
1492940460.089573,2,0.28484010696411133
1492940536.738105,3,0.3590604066848755
1492940613.122469,4,0.3963679373264313
1492940689.320797,5,0.43742597103118896
1492940766.242034,6,0.469536155462265
1492940841.965466,7,0.4978286623954773
1492940918.008603,8,0.521713376045227
1492940993.7631,9,0.5424398183822632
1492941077.757839,0,0.5604026913642883
1492941156.167453,1,0.5923805832862854
1492941234.358224,2,0.5836952328681946
1492941312.919605,3,0.5717374086380005
1492941391.027022,4,0.584089994430542
1492941469.42202,5,0.5617844462394714
1492941547.69677,6,0.5688906311988831
1492941625.546422,7,0.5791551470756531
1492941703.797918,8,0.5793525576591492
1492941781.780455,9,0.580581784248352
