Wall time,Step,Value
1492942111.847638,0,4.851681709289551
1492942186.589968,1,3.2694091796875
1492942261.024482,2,2.6653590202331543
1492942335.655482,3,2.2681751251220703
1492942410.292954,4,2.0569493770599365
1492942484.936702,5,1.9112532138824463
1492942559.76361,6,1.7259166240692139
1492942634.133113,7,1.644572377204895
1492942708.775681,8,1.5630292892456055
1492942783.102181,9,1.4881519079208374
1492942857.692294,10,1.409716010093689
1492942932.395583,11,1.3925840854644775
1492943006.816469,12,1.3547828197479248
1492943081.398344,13,1.2602397203445435
1492943155.703291,14,1.276634931564331
1492943237.973435,0,1.1522389650344849
1492943315.687443,1,1.1468170881271362
1492943393.100887,2,1.1075984239578247
1492943471.152382,3,1.1127666234970093
1492943548.716357,4,1.1292157173156738
1492943626.470962,5,1.089661955833435
1492943704.167414,6,1.1368671655654907
1492943781.615096,7,1.118837594985962
1492943859.273258,8,1.1131020784378052
1492943936.686793,9,1.1422309875488281
